Player,Position,Minutes,Goals,Assists,Total Shoot,Touches,Expected Goals (xG),Carries
Sergi Cardona,LB,90,0,0,0,66,0,25
Eric Bailly,CB,90,0,0,0,66,0,31
Raúl Albiol,CB,90,0,0,0,71,0,30
Kiko Femenía,RB,90,0,0,0,82,0,39
Diego Conde,GK,90,0,1,0,25,0,14
Alexander Sørloth,FW,45,1,0,1,14,0.1,3
Ángel Correa,FW,45,0,0,1,18,0.1,10
Samuel Lino,"AM,WB,CM",90,0,0,3,52,0.7,32
Antoine Griezmann,"AM,FW",77,0,1,1,45,0.1,28
Julián Álvarez,FW,13,0,0,0,3,0,1
Koke,CM,63,0,0,0,55,0,32
Rodrigo De Paul,CM,27,0,0,0,31,0,23
Pablo Barrios,CM,90,0,1,2,69,0,45
Reinildo Mandava,WB,53,0,0,0,40,0,20
Nahuel Molina,WB,37,0,0,0,42,0,20
Marcos Llorente,"WB,CM",90,1,0,1,56,0.1,34
Robin Le Normand,CB,90,0,0,0,78,0,53
Axel Witsel,CB,45,0,0,0,33,0,26
José María Giménez,CB,45,0,0,0,45,0,27
César Azpilicueta,CB,90,0,0,0,104,0,63
Jan Oblak,GK,90,0,0,0,20,0,11
Anastasios Douvikas,FW,65,0,0,0,20,0,8
Borja Iglesias,FW,25,0,0,0,5,0,0
Williot Swedberg,LW,64,0,0,2,22,0.1,12
Jonathan Bamba,LW,26,0,0,0,14,0,6
Iago Aspas,RW,86,1,1,1,38,1,28
Pablo Durán,RW,4,0,0,0,11,0,6
Óscar Mingueza,LM,45,1,1,1,49,0.1,30
Sergio Carreira,RM,45,0,0,0,28,0,10
Fran Beltrán,CM,90,1,0,1,47,0,23
Damián Rodríguez,CM,90,0,0,0,64,0,25
Hugo Álvarez,"LM,RM",90,0,0,0,64,0,25
Carlos Dominguez,CB,90,0,0,0,79,0,36
Jailson Siqueira,CB,90,0,0,0,75,0,40
Javi Rodríguez,CB,74,0,0,1,73,0.1,38
Carl Starfelt,CB,16,0,0,0,14,0,5
Iván Villar,GK,90,0,0,0,33,0,15
Hugo Duro,FW,76,0,0,3,25,0.1,8
Dani Gómez,FW,14,0,0,0,3,0,1
Domingos André Ribeiro Almeida,"FW,CM",90,0,0,1,67,0,51
Diego López,"LM,RM",76,1,0,1,43,0.4,27
Martín Tejón,RM,14,0,0,1,17,0.1,9
Javier Guerra,CM,60,0,0,1,45,0,35
Luis Rioja,LM,30,0,0,1,18,0,14
José Luis García Vayá,CM,90,0,0,0,80,0,44
Rafa Mir,"RM,FW,LM",83,0,1,2,20,0.1,14
Alberto Marí,FW,7,0,0,0,4,0,2
Jesus Vazquez,LB,90,0,0,1,64,0,33
Yarek Gasiorowski,CB,90,0,0,1,61,0.1,44
Cristhian Mosquera,CB,90,0,0,0,75,0,57
Thierry Correia,RB,76,0,0,1,71,0.1,47
Dimitri Foulquier,RB,14,0,0,0,22,0,18
Giorgi Mamardashvili,GK,90,0,0,0,32,0,20
Isaac Romero,FW,76,0,0,2,17,0.4,12
Kelechi Iheanacho,FW,14,0,0,1,4,0.1,2
Lucas Ocampos,LW,85,0,1,0,51,0,33
Jesús Navas,LW,5,0,0,0,8,0,7
Dodi Lukebakio,RW,70,1,0,1,33,0,20
Djibril Sow,RW,20,0,0,0,10,0,5
Saúl Ñíguez,LM,90,0,0,4,73,0.3,50
Lucien Agoume,CM,90,0,0,0,73,0,43
Juanlu Sánchez,RM,70,0,0,0,19,0,9
Chidera Ejuke,RM,20,0,0,0,17,0,15
Adrià Pedrosa,LB,90,0,0,3,71,0.1,35
Kike Salas,CB,76,0,0,2,77,0.1,46
Marcão,CB,14,0,0,0,23,0,17
Loïc Bade,CB,90,0,0,1,89,0,62
